regiao,faixa_renda,diversificacao_media,renda_media,idade_media,proporcao_complex,total_clientes
Centro-Oeste,Até 20k,0.18781251136654997,12798.888552177303,54.52511415525114,0.5362234101793073,3841
Centro-Oeste,Acima de 20k,0.24146715544088343,51956.01156276341,54.46997538689774,0.6801392494689639,8636
Nordeste,Até 20k,0.15598404840994534,12657.841124729632,54.504325883201155,0.48704237763358166,6740
Nordeste,Acima de 20k,0.21260245998977523,41765.841204542456,54.48081341608346,0.6448259166336546,11281
Norte,Até 20k,0.14413110546092975,12795.240206629358,54.536805854498496,0.48880757640981487,954
Norte,Acima de 20k,0.19914214223708557,49677.55875319367,54.42428887753364,0.6271220121501164,1759
Não Identificada,Até 20k,0.07595594155446327,11367.83,54.7,0.43333333333333335,10
Não Identificada,Acima de 20k,0.26294613707379166,56836.04692307692,54.61538461538461,0.6794871794871795,13
Sudeste,Até 20k,0.158272759168579,11999.195211324644,54.58207544854331,0.5029841526969868,31520
Sudeste,Acima de 20k,0.20557662167250845,40623.89296897575,54.547255218749775,0.6556574118227606,42746
Sul,Até 20k,0.16362778034753084,11901.250098238008,54.54331562019298,0.4892818020789633,11062
Sul,Acima de 20k,0.21240618121885696,48199.10286009131,54.510684428878186,0.6549537529273598,14757
