faixa_diversificacao,percentual
"(-0.002, 0.02]",0.463336308244086
"(0.02, 0.04]",0.04189457649603845
"(0.04, 0.06]",0.03173571459522881
"(0.06, 0.08]",0.026643159038562177
"(0.08, 0.1]",0.023901991273595127
"(0.1, 0.12]",0.02136352576089384
"(0.12, 0.14]",0.019662743451029804
"(0.14, 0.16]",0.018163621758013927
"(0.16, 0.18]",0.016854702692252567
"(0.18, 0.2]",0.015795567799632676
"(0.2, 0.22]",0.014675393071541186
"(0.22, 0.24]",0.01403687056054985
"(0.24, 0.26]",0.013127522840981436
"(0.26, 0.28]",0.012577747667569973
"(0.28, 0.3]",0.011916725831558386
"(0.3, 0.32]",0.01118008126422874
"(0.32, 0.34]",0.010946754930685412
"(0.34, 0.36]",0.01028656640300791
"(0.36, 0.38]",0.010040532117369813
"(0.38, 0.4]",0.009395759793872851
"(0.4, 0.42]",0.009019937735201277
"(0.42, 0.44]",0.008779944934985283
"(0.44, 0.46]",0.008597242082737518
"(0.46, 0.48]",0.00849453683056175
"(0.48, 0.5]",0.008130172761483822
"(0.5, 0.52]",0.007769558579909269
"(0.52, 0.54]",0.007460609515047882
"(0.54, 0.56]",0.0072337413210937
"(0.56, 0.58]",0.007076037718868434
"(0.58, 0.6]",0.006748755870657213
"(0.6, 0.62]",0.006690840941438424
"(0.62, 0.64]",0.0064785556433307
"(0.64, 0.66]",0.0062146052285098115
"(0.66, 0.68]",0.006130441086767397
"(0.68, 0.7]",0.0059904452866414
"(0.7, 0.72]",0.006022319330420087
"(0.72, 0.74]",0.005878156988623675
"(0.74, 0.76]",0.005702120603048575
"(0.76, 0.78]",0.005487960361189165
"(0.78, 0.8]",0.005425878890299957
"(0.8, 0.82]",0.005372963811085667
"(0.82, 0.84]",0.005343589692309231
"(0.84, 0.86]",0.005264008746404275
"(0.86, 0.88]",0.005156928625474569
"(0.88, 0.9]",0.005164011746314277
"(0.9, 0.92]",0.005291507921429024
"(0.92, 0.94]",0.0053652557089953964
"(0.94, 0.96]",0.005740869440583449
"(0.96, 0.98]",0.006218355116013186
"(0.98, 1.0]",0.014214781889876637
