variavel,count,mean,std,min,25%,50%,75%,max
diver,4791216.0,0.19416798571826394,0.2781597869293749,0.0,0.0,0.03715504721931741,0.30760559238743235,1.0
ln_diver_w,4791216.0,-2.840902303026451,1.7274922336763876,-4.605170185988091,-4.605170185988091,-3.054314229628294,-1.1469449414914084,0.0015215336616571915
ln_renda_w,4791216.0,8.082736427028948,0.18428856964520973,7.639161171659173,8.138477116600624,8.164510268747042,8.164510268747042,8.189799618728228
ln_ESC_w,4791216.0,2.2783461181682534,0.06569289081297021,2.1162555148025524,2.302585092994046,2.302585092994046,2.312535423847214,2.312535423847214
ln_IDH_w,4791216.0,-0.3045599796082777,0.05274868485219057,-0.43278491876312725,-0.2832917241504881,-0.2827608681327128,-0.2827608681327128,-0.27931715612015323
idade_int,4791216.0,65.49651612450785,12.727241548384027,6.0,57.0,66.0,74.0,122.0
sexo_dummy,4791216.0,0.6119398499253634,0.48730844396768347,0.0,0.0,1.0,1.0,1.0
complex,4791216.0,0.6023074309319388,0.4894213313397305,0.0,0.0,1.0,1.0,1.0
skew_proxy,4791216.0,0.7344402819456376,5.172426712544261,-10.427378041348412,-0.5962360527186124,2.0535925489751055,3.746950571160474,7.915076020251939
perfil_conservador,4791216.0,0.18616317861686887,0.38923833465609553,0.0,0.0,0.0,0.0,1.0
perfil_moderado,4791216.0,0.5093846739533346,0.49991197230636425,0.0,0.0,1.0,1.0,1.0
perfil_arrojado,4791216.0,0.1300955749020708,0.3364085907247813,0.0,0.0,0.0,0.0,1.0
